"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
138,"詹姆斯-哈登",28.45,8.45,0.64,4.82,1.91,0.45,5.36,8.18,19.82,2.91,37,"火箭",1.5
139,"帕特里克-贝弗利",11.09,3,1.91,3.45,1.45,0.18,1.73,4.09,9.91,1.91,30,"火箭",1
140,"多纳塔斯-莫蒂埃尤纳斯",5.2,1.2,0.6,1,1,0.4,0.6,1.8,6,0.2,16,"鹈鹕",4.5
142,"克林特-卡佩拉",10.55,1.09,2.36,6.45,0.73,2.55,0.73,4.18,7.45,0,26,"火箭",5
143,"KJ-麦克丹尼尔斯",8,0.4,0.2,3.2,0.4,1,1.4,2.6,6.8,1,19,"篮网",2.5
144,"萨姆-德克尔",2.25,0.25,1.25,1.25,0.25,0.25,0,0.75,3,0.75,8,"火箭",3.5
145,"蒙特雷兹-哈勒尔",1,0.4,0.2,1,0,0,0.4,0.2,0.6,0,4,"火箭",4.5
148,"CJ-迈尔斯",7.25,0.25,1,1,0.5,0.25,0.5,2.75,6,1.25,22,"步行者",2.5
149,"蒙塔-埃利斯",5.5,1.25,0.25,1.75,0.5,0.25,1,2,5,0.5,24,"步行者",2
151,"乔治-希尔",15.62,3.62,1,3.25,0.25,0.12,1.62,5.75,12.25,1.5,35,"爵士",1
152,"乔丹-希尔",1.6,0,1.2,1,0.2,0,0.4,0.6,2,0,6,"森林狼",4.5
153,"保罗-乔治",28,7.25,1.25,7.5,1.75,0.25,3.25,8.5,22,4.5,41,"步行者",3.5
154,"拉沃伊-阿伦",0,0,0,0.67,0,0,0.33,0,0,0,7,"步行者",4.5
155,"格伦-罗宾逊三世",5,0.33,0,1,0,0,0,2,2,0.67,10,"步行者",2.5
158,"迈尔斯-特纳",10.75,0.75,1.5,5.25,1.75,1.5,1.5,4.75,11,0,33,"步行者",5
160,"卡里斯-勒韦尔",13.6,2.6,0,4.2,0.6,0.4,1.4,5.2,10.6,1.8,24,"篮网",2.5
162,"保罗-皮尔斯",3,0.86,0.29,1.71,0.29,0,0.57,1.14,2.57,0.57,12,"快船",3
163,"克里斯-保罗",25.29,9.86,0.57,4.57,1.71,0.14,2.71,9.57,19.29,2,36,"快船",1
164,"JJ-雷迪克",9.14,0.86,0,1.71,0.29,0,1.86,2.71,7.14,1.29,29,"快船",2
165,"德安德鲁-乔丹",15.43,0.71,3.57,10.71,0.43,0.86,2.43,6.14,8.71,0,36,"快船",5
166,"布雷克-格里芬",20.33,2.33,1,5,0.67,0.33,2,8.33,17,1.33,33,"快船",4
172,"路易斯-威廉姆斯",12.55,1.27,0.64,2.09,0.64,0.09,1.18,4.55,10.73,1.09,25,"火箭",1.5
175,"朱利叶斯-兰德尔",14.6,2.4,2,5,0.2,0.4,1.6,5.8,10,0,28,"湖人",4.5
176,"乔丹-克拉克森",15.6,3.2,0.2,3.6,0.6,0,2.2,6.4,13.2,1.6,33,"湖人",1.5
177,"塔里克-布莱克",6,0.4,0.8,4.4,1.2,1.6,0.2,2.4,4.8,0,20,"湖人",4.5
178,"丹吉洛-拉塞尔",14.6,5.2,0.2,3.4,1.8,0,4.4,4.8,13.8,1.8,35,"湖人",1
179,"小拉里-南斯",10.4,2.4,3.4,6.4,1.8,1.2,0.6,4.2,8.4,0.6,29,"湖人",4
182,"布兰登-英格拉姆",11.6,3.2,1.8,1.4,1.6,0.4,1.8,4.6,12,0.2,24,"湖人",3.5
183,"伊维察-祖巴茨",9.2,1.8,0.4,3.8,0.8,0.4,1.2,3.8,8,0,15,"湖人",5
186,"戈兰-德拉季奇",22.4,4.6,0.6,2.4,1.4,0.2,3,8.2,17.4,1.4,35,"热火",1
187,"泰勒-约翰逊",13.6,2.6,0.4,3.4,0.4,0.4,1.6,4,9.4,2,29,"热火",1.5
189,"约什-理查德森",14.6,3.4,0.8,2.6,2.6,1.2,1.4,5.2,11.6,2.6,36,"热火",2.5
190,"布里安特-韦伯",3.6,1.4,0.6,0.6,0.6,0,0.6,1,3.6,0.2,14,"黄蜂",1
191,"格雷格-门罗",13.17,1.67,2.83,4.5,1.33,0.5,1.83,4.5,8.5,0,22,"雄鹿",5
192,"约翰-亨森",1.5,0,1,1,0.5,0,0.5,0.5,2,0,9,"雄鹿",5
193,"迈尔斯-普拉姆利",1.2,0.2,1.6,1.8,0.4,0.2,0.8,0.6,1.8,0,14,"黄蜂",4.5
194,"克里斯-米德尔顿",14.5,5.33,0,4.67,2,0,1.83,5.17,13,1.17,37,"雄鹿",2.5
195,"扬尼斯-阿德托昆博",24.83,4,1.83,7.83,2.17,1.67,3.33,10,18.83,0.67,39,"雄鹿",3.5
196,"迈克尔-卡特-威廉姆斯",2.8,1.2,0.2,0.6,0.4,0.2,1.2,1.2,3,0,12,"公牛",1
200,"泰勒-恩尼斯",12.4,4.2,0,0.8,1,0.4,1.6,4.8,9.8,1.8,27,"湖人",1
201,"拉沙德-沃恩",2,0,0,0,0,0,0,0.67,1.33,0.67,11,"雄鹿",1.5
202,"马尔科姆-布罗格登",9,3.5,0.5,3.83,0.5,0.33,2,3.67,9.17,1.67,29,"雄鹿",1.5
203,"索恩-梅克",5.83,2,1.33,1.83,0.83,1.83,1.33,2,5.17,0.33,19,"雄鹿",5
204,"赛迪斯-杨",12,2.5,5.5,3.5,2,0.25,1.5,5.25,9.75,0.25,34,"步行者",4
205,"布鲁克-洛佩斯",18.6,2.2,1.4,3.6,0.4,2,2.6,7.2,14.8,1.4,30,"篮网",5
206,"威利-里德",5,0.4,2.2,2.6,0,0.8,0.6,2.2,3.4,0,15,"热火",5
208,"博扬-波格丹诺维奇",8.85,0.69,0.77,3.46,0.46,0.08,0.62,2.77,6.69,1.23,20,"奇才",2.5
209,"肖恩-基尔帕特里克",11.2,1.8,0.6,3.6,0.2,0,0.8,4.2,8.8,1.2,19,"篮网",1.5
210,"朗戴-霍利斯-杰弗森",11.4,2.6,1.4,6.4,1.6,0.8,1.6,3.8,8.8,0.2,28,"篮网",3.5
212,"以赛亚-怀特黑德",6.2,3,0.8,2.2,0.4,0.6,2,2.4,6.8,0.4,24,"篮网",1.5
215,"里基-卢比奥",15.2,8.6,0.8,3.6,1.2,0.2,2.8,5.2,14.6,0.6,36,"森林狼",1
216,"沙巴兹-穆罕默德",12.2,0.4,0.8,0.8,0.6,0.2,1.2,4.8,9.6,0.4,17,"森林狼",2.5
217,"戈尔吉-吉昂",9.4,2.4,2.2,5.6,1.2,1.4,1.6,3.8,6.6,0,36,"森林狼",4.5
219,"阿德里安-佩恩",2.6,0.4,0.6,1.8,0.4,0.6,0.2,1,2.6,0.2,7,"森林狼",4
220,"安德鲁-威金斯",28.2,2.2,1,3,1,0.2,2.4,9.8,22.6,1.2,37,"森林狼",3
221,"达米扬-鲁代日",1.8,0.4,0,0.4,0.2,0,0,0.8,1.6,0.2,4,"魔术",3
222,"卡尔-安东尼-唐斯",30,2.8,3.4,13.2,1,0.4,2,11.8,19.2,2,38,"森林狼",5
223,"泰厄斯-琼斯",4.6,3.2,0.2,1.4,1,0.2,0.6,1.8,3.4,0.6,13,"森林狼",1
226,"CJ-沃特森",3.2,3.6,0.6,0.8,0.6,0,1.2,1.2,4.6,0.2,16,"魔术",1.5
227,"赛尔吉-伊巴卡",14.3,1.4,0.9,5.5,0.4,1.7,1.1,6,13,1.2,31,"猛龙",4.5
228,"约迪-米克斯",10.2,1.2,0.2,2,0.4,0,1.6,2.8,7.6,2,18,"魔术",2
229,"尼古拉-武切维奇",12.8,3,1.4,9.2,1.4,1,0.8,6,13.6,0.6,29,"魔术",5
